"Sexe","Dose","N morts","Total","Theta emp","Log(Dose)"
"Femelle",1,0,20,-3.71357206670431,0
"Femelle",2,2,20,-2.00148000021012,0.693147180559945
"Femelle",4,6,20,-0.802346472524937,1.38629436111989
"Femelle",8,10,20,0,2.07944154167984
"Femelle",16,12,20,0.385662480811985,2.77258872223978
"Femelle",32,16,20,1.29928298413026,3.46573590279973
"Male",1,1,20,-2.56494935746154,0
"Male",2,4,20,-1.29928298413026,0.693147180559945
"Male",4,9,20,-0.191055236762709,1.38629436111989
"Male",8,13,20,0.587786664902119,2.07944154167984
"Male",16,18,20,2.00148000021012,2.77258872223978
"Male",32,20,20,3.71357206670431,3.46573590279973
